rel_path,size_bytes,size_h,category,possible_use
99_ARCHIVE_LEGACY/Backups/HaderOS_FINAL_COMPLETE_20251206_230352.tar.gz,5776989009,5.4GB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/haderos 3.zip,3686710058,3.4GB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Backups/01_core-platform_docs.zip,2213879509,2.1GB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/91_QURANIC_ENGINE/Engine_Packages/07_quranic-engine.zip,1156451208,1.1GB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/04_HADEROS_ENGINEERING/01_core-platform_code.zip,1155863924,1.1GB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/05_DIGITAL_TWINS/02_business-oses.zip,292520168,279.0MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/99_ARCHIVE_LEGACY/1765052229_HaderOS_Final_Package_v3_Updated.tar,292218880,278.7MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/90_WEB_SHOPIFY/1765052140_hader_website.zip,277408822,264.6MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
99_ARCHIVE_LEGACY/Releases/HaderOS_FINAL_PACKAGE_20251206_230352/02_OPERATIONS_REPORTS/WhatsApp Chat - هاله من معهد لونچيفتي (1).zip,112113001,106.9MB,archive,نسخ احتياطية/إصدارات/حزم. تُنقل لتخزين بارد أو تُحذف بعد تأكيد المصدر.
01_core-platform/02_code/web/web explain/7_أيام_للقيادة__تحويل_متجرك_الإلكتروني_من_تاجر_مُرهَق_إلى_منظوم.m4a,81482089,77.7MB,media_audio,صوتيات/تسجيلات—تنظيمها أو نقلها لأرشيف.
